sample_ID,treatment,replicate,plate,well,nFeature_RNA,nCount_RNA
IL17C_group3_plate3_G06,IL17C,group3,plate3,G06,11144,590435
IL15_group3_plate3_F06,IL15,group3,plate3,F06,11018,564614
IFNA_group3_plate3_H05,IFNA,group3,plate3,H05,11998,1018623
WNT7A_group3_plate3_C09,WNT7A,group3,plate3,C09,11460,771338
IL1A_group3_plate3_C06,IL1A,group3,plate3,C06,11346,746873
CCL7_group3_plate3_E03,CCL7,group3,plate3,E03,11665,792057
IFNG_group3_plate3_D01,IFNG,group3,plate3,D01,11752,948610
CCL5_group3_plate3_B03,CCL5,group3,plate3,B03,11743,812657
IL35_group3_plate3_G07,IL35,group3,plate3,G07,10800,553870
INHBA_group3_plate3_C07,INHBA,group3,plate3,C07,11159,679481
WNT1_group3_plate3_G09,WNT1,group3,plate3,G09,11720,806322
IL16_group3_plate3_H06,IL16,group3,plate3,H06,11741,820552
TGFB1_group3_plate3_C01,TGFB1,group3,plate3,C01,11748,833990
TNFSF10_group3_plate3_C12,TNFSF10,group3,plate3,C12,12263,1049455
CCL3_group3_plate3_F03,CCL3,group3,plate3,F03,11358,655442
IL10_group3_plate3_A05,IL10,group3,plate3,A05,13157,1572052
IL1F6_group3_plate3_E10,IL1F6,group3,plate3,E10,11771,839423
linker_group3_plate3_D08,linker,group3,plate3,D08,11365,736376
LEP_group3_plate3_D10,LEP,group3,plate3,D10,10674,540504
INHBB_group3_plate3_F08,INHBB,group3,plate3,F08,11886,899750
CCL27_group3_plate3_F12,CCL27,group3,plate3,F12,12273,1002036
TSLP_group3_plate3_E09,TSLP,group3,plate3,E09,10851,582810
TNFSF15_group3_plate3_B09,TNFSF15,group3,plate3,B09,11925,901792
IL1F10_group3_plate3_H10,IL1F10,group3,plate3,H10,11951,837031
GDF2_group3_plate3_C04,GDF2,group3,plate3,C04,11089,655921
linker_group3_plate3_C10,linker,group3,plate3,C10,11006,651159
CCL28_group3_plate3_H12,CCL28,group3,plate3,H12,13158,1364830
IL17A_group3_plate3_B06,IL17A,group3,plate3,B06,11877,863104
IFNE_group3_plate3_E05,IFNE,group3,plate3,E05,11618,880382
CCL1_group3_plate3_E11,CCL1,group3,plate3,E11,11662,788055
IL1F5_group3_plate3_B10,IL1F5,group3,plate3,B10,11705,871708
IL2_group3_plate3_H01,IL2,group3,plate3,H01,13178,1613504
MIF_group3_plate3_B08,MIF,group3,plate3,B08,12395,1190344
LIF_group3_plate3_H08,LIF,group3,plate3,H08,11574,740124
CCL19_group3_plate3_G02,CCL19,group3,plate3,G02,12266,1001949
CXCL12_group3_plate3_F04,CXCL12,group3,plate3,F04,12012,940687
GDF15_group3_plate3_D04,GDF15,group3,plate3,D04,11260,666455
CCL21A_group3_plate3_D02,CCL21A,group3,plate3,D02,12185,1088951
GDF11_group3_plate3_A04,GDF11,group3,plate3,A04,12086,1032361
CCL26_group3_plate3_B11,CCL26,group3,plate3,B11,12178,1066622
IL7_group3_plate3_A07,IL7,group3,plate3,A07,12698,1396013
CX3CL1_group3_plate3_B12,CX3CL1,group3,plate3,B12,13113,1392157
IL9_group3_plate3_D07,IL9,group3,plate3,D07,10810,590202
CCL12_group3_plate3_E02,CCL12,group3,plate3,E02,12017,861996
CCL22_group3_plate3_F11,CCL22,group3,plate3,F11,12461,1121337
TGFB3_group3_plate3_F09,TGFB3,group3,plate3,F09,11421,741466
IL18_group3_plate3_D06,IL18,group3,plate3,D06,11237,694425
IL25_group3_plate3_H07,IL25,group3,plate3,H07,11673,754417
OSM_group3_plate3_G08,OSM,group3,plate3,G08,11558,766510
CXCL13_group3_plate3_H04,CXCL13,group3,plate3,H04,12104,924552
IL1B_group3_plate3_F01,IL1B,group3,plate3,F01,11769,841420
WNT5A_group3_plate3_D09,WNT5A,group3,plate3,D09,10983,665654
TNFSF4_group3_plate3_G12,TNFSF4,group3,plate3,G12,12942,1232273
IL27_group3_plate3_B07,IL27,group3,plate3,B07,12318,1160130
CCL2_group3_plate3_A02,CCL2,group3,plate3,A02,12523,1151444
LTA_group3_plate3_E12,LTA,group3,plate3,E12,12028,1060561
IFNB1_group3_plate3_B05,IFNB1,group3,plate3,B05,11652,1003255
CCL11_group3_plate3_A11,CCL11,group3,plate3,A11,13111,1457775
BMP10_group3_plate3_F02,BMP10,group3,plate3,F02,11794,819978
GDF10_group3_plate3_G04,GDF10,group3,plate3,G04,11660,761813
CXCL16_group3_plate3_B04,CXCL16,group3,plate3,B04,12346,1241781
CCL20_group3_plate3_C11,CCL20,group3,plate3,C11,11241,674228
IL12_group3_plate3_G01,IL12,group3,plate3,G01,11392,657400
IL23_group3_plate3_A01,IL23,group3,plate3,A01,13575,2045326
IL11_group3_plate3_D05,IL11,group3,plate3,D05,11776,891423
CXCL10_group3_plate3_D03,CXCL10,group3,plate3,D03,11878,849360
IL1F9_group3_plate3_A10,IL1F9,group3,plate3,A10,12967,1545041
CXCL9_group3_plate3_E04,CXCL9,group3,plate3,E04,10796,596254
IL17F_group3_plate3_A06,IL17F,group3,plate3,A06,12515,1282586
TNF_group3_plate3_H09,TNF,group3,plate3,H09,13331,1651397
CXCL11_group3_plate3_C03,CXCL11,group3,plate3,C03,11986,945781
TNFSF9_group3_plate3_D12,TNFSF9,group3,plate3,D12,11751,900148
MSTN_group3_plate3_E08,MSTN,group3,plate3,E08,10790,553322
CCL9_group3_plate3_G11,CCL9,group3,plate3,G11,12028,875183
PF4_group3_plate3_A08,PF4,group3,plate3,A08,12877,1423710
CCL24_group3_plate3_H11,CCL24,group3,plate3,H11,12411,960125
IL33_group3_plate3_E07,IL33,group3,plate3,E07,11655,784177
CCL17_group3_plate3_D11,CCL17,group3,plate3,D11,11860,891972
CCL8_group3_plate3_G03,CCL8,group3,plate3,G03,11741,792630
CCL4_group3_plate3_H03,CCL4,group3,plate3,H03,12382,1045875
IL6_group3_plate3_E01,IL6,group3,plate3,E01,12025,1033782
IL21_group3_plate3_F07,IL21,group3,plate3,F07,11927,909130
